x,y,z,r,g,b
0.8839,0.7903,1.3618,163,151,162
0.8864,0.7911,1.3629,163,151,162
0.8812,0.7922,1.3603,163,151,162
0.8831,0.7897,1.3656,163,151,162
0.8803,0.7887,1.3609,163,151,162
0.8864,0.7911,1.3567,163,151,162
0.8849,0.7848,1.3580,163,151,162
0.8792,0.7854,1.3611,163,151,162
0.8869,0.7889,1.3684,163,151,162
0.8834,0.7934,1.3548,163,151,162
0.8865,0.7880,1.3687,163,151,162
0.8822,0.7876,1.3691,163,151,162
0.8763,0.7932,1.3627,163,151,162
0.8800,0.7836,1.3640,163,151,162
0.8834,0.7897,1.3536,163,151,162
0.8833,0.7861,1.3689,163,151,162
0.8851,0.7863,1.3691,163,151,162
0.8761,0.7925,1.3594,163,151,162
0.8759,0.7939,1.3636,163,151,162
0.8791,0.7906,1.3694,163,151,162
0.8864,0.7859,1.3693,163,151,162
0.8753,0.7928,1.3640,163,151,162
0.8829,0.7894,1.3709,163,151,162
0.8757,0.7883,1.3580,163,151,162
0.8754,0.7907,1.3657,163,151,162
0.8783,0.7880,1.3546,163,151,162
0.8766,0.7845,1.3604,163,151,162
0.8853,0.7849,1.3698,163,151,162
0.8888,0.7910,1.3533,163,151,162
0.8924,0.7854,1.3636,163,151,162
0.8796,0.7996,1.3606,163,151,162
0.8843,0.7986,1.3679,163,151,162
0.8866,0.7906,1.3717,163,151,162
0.8925,0.7962,1.3613,163,151,162
0.8757,0.7969,1.3603,163,151,162
0.8848,0.7969,1.3704,163,151,162
0.8735,0.7883,1.3646,163,151,162
0.8749,0.7883,1.3557,163,151,162
0.8733,0.7918,1.3648,163,151,162
0.8731,0.7903,1.3584,163,151,162
0.8849,0.7897,1.3504,163,151,162
0.8854,0.7944,1.3724,163,151,162
0.8737,0.7853,1.3599,163,151,162
0.8933,0.7843,1.3648,163,151,162
0.8870,0.7793,1.3640,163,151,162
0.8810,0.7868,1.3729,163,151,162
0.8774,0.7820,1.3676,163,151,162
0.8723,0.7901,1.3583,163,151,162
0.8878,0.7828,1.3705,163,151,162
0.8771,0.7878,1.3519,163,151,162
0.8716,0.7925,1.3605,163,151,162
0.8930,0.7913,1.3532,163,151,162
0.8779,0.7814,1.3686,163,151,162
0.8858,0.7849,1.3732,163,151,162
0.8771,0.7854,1.3519,163,151,162
0.8909,0.7935,1.3724,163,151,162
0.8770,0.7860,1.3512,163,151,162
0.8928,0.7842,1.3696,163,151,162
0.8728,0.7889,1.3541,163,151,162
0.8842,0.7956,1.3492,163,151,162
0.8830,0.7773,1.3659,163,151,162
0.8738,0.7820,1.3663,163,151,162
0.8956,0.7828,1.3622,163,151,162
0.8975,0.7927,1.3594,163,151,162
0.8888,0.7774,1.3593,163,151,162
0.8917,0.7824,1.3703,163,151,162
0.8886,0.7950,1.3742,163,151,162
0.8902,0.7797,1.3687,163,151,162
0.8962,0.7972,1.3603,163,151,162
0.8791,0.7806,1.3526,163,151,162
0.8854,0.8043,1.3600,163,151,162
0.8849,0.8034,1.3563,163,151,162
0.8886,0.8026,1.3672,163,151,162
0.8866,0.7997,1.3723,163,151,162
0.8892,0.7821,1.3725,163,151,162
0.8977,0.7866,1.3642,163,151,162
0.8814,0.7871,1.3759,163,151,162
0.8941,0.7853,1.3710,163,151,162
0.8853,0.8021,1.3706,163,151,162
0.8723,0.7993,1.3643,163,151,162
0.8960,0.7967,1.3561,163,151,162
0.8794,0.8032,1.3556,163,151,162
0.8789,0.7904,1.3761,163,151,162
0.8784,0.7792,1.3528,163,151,162
0.8739,0.7793,1.3656,163,151,162
0.8833,0.7935,1.3768,163,151,162
0.8920,0.7941,1.3744,163,151,162
0.8748,0.8029,1.3616,163,151,162
0.8886,0.7950,1.3758,163,151,162
0.8818,0.7754,1.3660,163,151,162
0.8799,0.7984,1.3746,163,151,162
0.8772,0.7810,1.3510,163,151,162
0.8681,0.7909,1.3612,163,151,162
0.8696,0.7898,1.3685,163,151,162
0.8797,0.7771,1.3541,163,151,162
0.8985,0.7885,1.3560,163,151,162
0.8825,0.7836,1.3762,163,151,162
0.8830,0.8052,1.3679,163,151,162
0.8913,0.7899,1.3761,163,151,162
0.8767,0.7883,1.3761,163,151,162
0.8810,0.7950,1.3770,163,151,162
0.8735,0.7779,1.3634,163,151,162
0.8800,0.7744,1.3624,163,151,162
0.8962,0.7936,1.3512,163,151,162
0.8682,0.7882,1.3667,163,151,162
0.8987,0.7957,1.3560,163,151,162
0.8953,0.7795,1.3677,163,151,162
0.8838,0.7832,1.3463,163,151,162
0.8676,0.7897,1.3664,163,151,162
0.8989,0.7881,1.3693,163,151,162
0.8845,0.7982,1.3769,163,151,162
0.8713,0.7921,1.3503,163,151,162
0.8806,0.7850,1.3458,163,151,162
0.8830,0.7891,1.3789,163,151,162
0.8838,0.7891,1.3789,163,151,162
0.8799,0.8005,1.3485,163,151,162
0.8808,0.7872,1.3784,163,151,162
0.8775,0.7820,1.3480,163,151,162
0.8810,0.8065,1.3562,163,151,162
0.9000,0.7964,1.3633,163,151,162
0.8865,0.7751,1.3699,163,151,162
0.8666,0.7913,1.3587,163,151,162
0.8816,0.7960,1.3785,163,151,162
0.8686,0.7994,1.3605,163,151,162
0.8785,0.7754,1.3700,163,151,162
0.8660,0.7910,1.3611,163,151,162
0.8820,0.7938,1.3792,163,151,162
0.8696,0.7894,1.3510,163,151,162
0.8754,0.7797,1.3501,163,151,162
0.8833,0.8057,1.3524,163,151,162
0.8809,0.7982,1.3777,163,151,162
0.8866,0.7790,1.3480,163,151,162
0.8932,0.7895,1.3459,163,151,162
0.9016,0.7851,1.3627,163,151,162
0.8868,0.7847,1.3792,163,151,162
0.8987,0.7792,1.3626,163,151,162
0.8875,0.7749,1.3715,163,151,162
0.8920,0.8018,1.3741,163,151,162
0.8872,0.7812,1.3778,163,151,162
0.8819,0.7978,1.3791,163,151,162
0.8765,0.7929,1.3445,163,151,162
0.8667,0.7969,1.3569,163,151,162
0.8804,0.7870,1.3434,163,151,162
0.8648,0.7898,1.3633,163,151,162
0.8706,0.7836,1.3498,163,151,162
0.8844,0.7781,1.3765,163,151,162
0.8666,0.7949,1.3549,163,151,162
0.9013,0.7976,1.3584,163,151,162
0.8657,0.7849,1.3650,163,151,162
0.8688,0.8021,1.3595,163,151,162
0.8908,0.7780,1.3486,163,151,162
0.8984,0.7832,1.3724,163,151,162
0.8659,0.7906,1.3545,163,151,162
0.8869,0.7815,1.3788,163,151,162
0.8999,0.7818,1.3691,163,151,162
0.8745,0.8050,1.3528,163,151,162
0.8999,0.8010,1.3581,163,151,162
0.8980,0.8029,1.3670,163,151,162
0.8925,0.7892,1.3794,163,151,162
0.8945,0.7743,1.3661,163,151,162
0.9035,0.7922,1.3617,163,151,162
0.8721,0.7790,1.3728,163,151,162
0.9026,0.7966,1.3606,163,151,162
0.8714,0.8057,1.3643,163,151,162
0.8915,0.7880,1.3434,163,151,162
0.8784,0.7833,1.3438,163,151,162
0.9007,0.8010,1.3642,163,151,162
0.9010,0.7813,1.3562,163,151,162
0.8737,0.7949,1.3449,163,151,162
0.8661,0.7825,1.3676,163,151,162
0.8789,0.7746,1.3500,163,151,162
0.8704,0.7950,1.3473,163,151,162
0.8671,0.8014,1.3645,163,151,162
0.9023,0.7832,1.3567,163,151,162
0.9028,0.7836,1.3577,163,151,162
0.8887,0.7840,1.3807,163,151,162
0.9011,0.7841,1.3712,163,151,162
0.8819,0.7774,1.3458,163,151,162
0.8683,0.7870,1.3485,163,151,162
0.8685,0.7863,1.3484,163,151,162
0.8992,0.7813,1.3510,163,151,162
0.8891,0.7982,1.3432,163,151,162
0.8880,0.8095,1.3545,163,151,162
0.8704,0.7851,1.3467,163,151,162
0.8957,0.7888,1.3789,163,151,162
0.8671,0.7987,1.3714,163,151,162
0.8688,0.7889,1.3470,163,151,162
0.8934,0.7900,1.3808,163,151,162
