x,y,z,r,g,b
0.0190,0.5513,0.2766,163,151,162
0.0171,0.5521,0.2772,163,151,162
0.0204,0.5499,0.2751,163,151,162
0.0204,0.5525,0.2787,163,151,162
0.0216,0.5499,0.2772,163,151,162
0.0173,0.5537,0.2786,163,151,162
0.0192,0.5529,0.2728,163,151,162
0.0153,0.5491,0.2763,163,151,162
0.0207,0.5518,0.2806,163,151,162
0.0203,0.5490,0.2718,163,151,162
0.0226,0.5553,0.2758,163,151,162
0.0140,0.5532,0.2781,163,151,162
0.0252,0.5524,0.2768,163,151,162
0.0172,0.5521,0.2705,163,151,162
0.0237,0.5484,0.2732,163,151,162
0.0166,0.5453,0.2780,163,151,162
0.0228,0.5471,0.2719,163,151,162
0.0185,0.5496,0.2837,163,151,162
0.0169,0.5555,0.2709,163,151,162
0.0126,0.5545,0.2788,163,151,162
0.0189,0.5587,0.2788,163,151,162
0.0196,0.5557,0.2702,163,151,162
0.0187,0.5584,0.2734,163,151,162
0.0189,0.5584,0.2721,163,151,162
0.0177,0.5559,0.2694,163,151,162
0.0252,0.5572,0.2776,163,151,162
0.0123,0.5526,0.2819,163,151,162
0.0269,0.5549,0.2760,163,151,162
0.0141,0.5499,0.2693,163,151,162
0.0168,0.5564,0.2837,163,151,162
0.0105,0.5485,0.2781,163,151,162
0.0228,0.5593,0.2790,163,151,162
0.0250,0.5444,0.2746,163,151,162
0.0222,0.5500,0.2678,163,151,162
0.0176,0.5601,0.2796,163,151,162
0.0107,0.5535,0.2727,163,151,162
0.0177,0.5501,0.2858,163,151,162
0.0249,0.5464,0.2710,163,151,162
0.0214,0.5511,0.2857,163,151,162
0.0140,0.5535,0.2687,163,151,162
0.0136,0.5517,0.2848,163,151,162
0.0147,0.5568,0.2696,163,151,162
0.0270,0.5492,0.2709,163,151,162
0.0134,0.5597,0.2763,163,151,162
0.0281,0.5501,0.2720,163,151,162
0.0114,0.5503,0.2698,163,151,162
0.0195,0.5546,0.2667,163,151,162
0.0215,0.5607,0.2728,163,151,162
0.0156,0.5414,0.2783,163,151,162
0.0222,0.5482,0.2862,163,151,162
0.0112,0.5521,0.2694,163,151,162
0.0129,0.5445,0.2706,163,151,162
0.0184,0.5403,0.2756,163,151,162
0.0125,0.5508,0.2676,163,151,162
0.0272,0.5446,0.2730,163,151,162
0.0272,0.5451,0.2722,163,151,162
0.0118,0.5478,0.2845,163,151,162
0.0101,0.5573,0.2729,163,151,162
0.0104,0.5588,0.2760,163,151,162
0.0180,0.5474,0.2874,163,151,162
0.0232,0.5453,0.2855,163,151,162
