x,y,z,r,g,b
6.2732,5.9677,6.2214,163,151,162
6.2748,5.9581,6.2584,163,151,162
6.2571,5.9606,6.2583,163,151,162
6.2596,5.9803,6.2613,163,151,162
6.2578,5.9432,6.2576,163,151,162
6.2719,5.9398,6.2591,163,151,162
6.2636,5.9404,6.2584,163,151,162
6.2714,5.9334,6.2600,163,151,162
6.2607,5.9411,6.2717,163,151,162
6.2608,5.9413,6.2717,163,151,162
6.2593,5.9437,6.2752,163,151,162
6.2722,5.9459,6.2824,163,151,162
6.2723,5.9446,6.2826,163,151,162
6.2649,5.9364,6.2744,163,151,162
6.2590,5.9392,6.2737,163,151,162
6.2580,5.9374,6.2714,163,151,162
6.2596,5.9373,6.2755,163,151,162
6.2575,5.9411,6.2769,163,151,162
6.2599,5.9353,6.2738,163,151,162
6.2570,5.9365,6.2736,163,151,162
6.2568,5.9368,6.2770,163,151,162
6.2575,5.9350,6.2757,163,151,162
6.2570,5.9323,6.2736,163,151,162
6.2670,5.9334,6.2716,163,151,162
6.2648,5.9322,6.2756,163,151,162
6.2645,5.9313,6.2745,163,151,162
6.2551,5.9320,6.2756,163,151,162
6.2633,5.9302,6.2767,163,151,162
6.2635,5.9285,6.2754,163,151,162
6.2669,5.9290,6.2732,163,151,162
6.2634,5.9256,6.2769,163,151,162
6.2476,5.9313,6.2780,163,151,162
6.2464,5.9309,6.2778,163,151,162
6.2656,5.9234,6.2746,163,151,162
6.2667,5.9219,6.2734,163,151,162
6.2507,5.9235,6.2775,163,151,162
6.2502,5.9222,6.2774,163,151,162
6.2654,5.9165,6.2748,163,151,162
6.2505,5.9188,6.2777,163,151,162
6.2501,5.9161,6.2777,163,151,162
0.0018,5.9791,6.2562,85,83,190
0.0020,5.9821,6.2561,85,83,190
0.0024,5.9826,6.2582,85,83,190
0.0130,5.9700,6.2554,85,83,190
0.0142,5.9706,6.2590,85,83,190
0.0115,5.9671,6.2578,85,83,190
0.0133,5.9684,6.2555,85,83,190
0.0136,5.9682,6.2575,85,83,190
0.0152,5.9690,6.2541,85,83,190
0.0165,5.9682,6.2530,85,83,190
0.0172,5.9700,6.2506,85,83,190
0.0193,5.9754,6.2447,85,83,190
0.0132,5.9611,6.2461,85,83,190
0.0211,5.9785,6.2411,85,83,190
0.0221,5.9798,6.2404,85,83,190
0.0234,5.9776,6.2406,85,83,190
0.0228,5.9724,6.2403,85,83,190
0.0237,5.9765,6.2383,85,83,190
0.0247,5.9767,6.2368,85,83,190
0.0328,5.9557,6.2415,85,83,190
0.0097,5.9698,6.1738,85,83,190
0.0455,5.9620,6.2217,85,83,190
6.2153,5.9193,6.2657,241,252,249
6.2132,5.9207,6.2698,241,252,249
6.2115,5.9144,6.2651,241,252,249
6.2128,5.9150,6.2704,241,252,249
6.2095,5.9121,6.2650,241,252,249
6.2106,5.9015,6.2681,241,252,249
6.2082,5.8992,6.2680,241,252,249
6.1925,5.9190,6.2680,241,252,249
6.1924,5.9236,6.2677,241,252,249
6.2000,5.9374,6.2651,241,252,249
6.1963,5.9348,6.2686,241,252,249
6.1909,5.9219,6.2702,241,252,249
6.1906,5.9172,6.2706,241,252,249
6.1903,5.9221,6.2703,241,252,249
6.1901,5.9160,6.2708,241,252,249
6.1980,5.9385,6.2684,241,252,249
6.1845,5.9416,6.2702,241,252,249
6.1858,5.9422,6.2703,241,252,249
6.2178,5.9452,6.2225,241,252,249
6.2500,5.9822,0.0001,121,107,82
6.2493,5.9612,0.0013,121,107,82
6.2632,5.9414,0.0025,121,107,82
6.2635,5.9414,0.0041,121,107,82
6.2333,5.9384,0.0988,20,19,233
6.2452,5.9383,0.1002,20,19,233
6.2237,5.9348,0.1073,20,19,233
6.2687,6.0933,6.2278,226,45,81
6.2686,6.1070,6.2287,226,45,81
6.1342,5.8314,6.2720,142,31,86
6.1285,5.8283,6.2822,142,31,86
