x,y,z,r,g,b
6.2821,5.6611,6.2528,163,151,162
6.2825,5.6624,6.2549,163,151,162
6.2821,5.6631,6.2566,163,151,162
6.2802,5.6596,6.2574,163,151,162
6.2803,5.6657,6.2511,163,151,162
6.2778,5.6647,6.2513,163,151,162
6.2802,5.6571,6.2574,163,151,162
6.2830,5.6550,6.2561,163,151,162
6.2792,5.6548,6.2548,163,151,162
6.2798,5.6543,6.2540,163,151,162
6.2799,5.6648,6.2588,163,151,162
6.2778,5.6682,6.2528,163,151,162
6.2799,5.6537,6.2566,163,151,162
6.2817,5.6527,6.2503,163,151,162
6.2809,5.6585,6.2612,163,151,162
6.2801,5.6595,6.2613,163,151,162
6.2780,5.6531,6.2531,163,151,162
6.2809,5.6525,6.2501,163,151,162
6.2805,5.6525,6.2561,163,151,162
6.2753,5.6621,6.2594,163,151,162
6.2803,5.6668,6.2607,163,151,162
6.2821,5.6672,6.2607,163,151,162
6.2793,5.6688,6.2587,163,151,162
6.2800,5.6639,6.2622,163,151,162
6.2758,5.6552,6.2583,163,151,162
6.2827,5.6522,6.2587,163,151,162
6.2826,5.6509,6.2558,163,151,162
6.2810,5.6602,6.2635,163,151,162
6.2756,5.6689,6.2567,163,151,162
6.2740,5.6567,6.2587,163,151,162
6.2804,5.6504,6.2547,163,151,162
6.2809,5.6518,6.2586,163,151,162
6.2809,5.6504,6.2558,163,151,162
6.2710,5.6637,6.2525,163,151,162
6.2806,5.6668,6.2625,163,151,162
6.2778,5.6632,6.2632,163,151,162
6.2759,5.6518,6.2560,163,151,162
6.2802,5.6656,6.2634,163,151,162
6.2728,5.6645,6.2591,163,151,162
6.2779,5.6579,6.2634,163,151,162
6.2817,5.6492,6.2526,163,151,162
6.2823,5.6530,6.2616,163,151,162
6.2774,5.6647,6.2639,163,151,162
6.2816,5.6668,6.2643,163,151,162
6.2735,5.6525,6.2572,163,151,162
6.2720,5.6661,6.2593,163,151,162
6.2806,5.6510,6.2614,163,151,162
6.2758,5.6574,6.2641,163,151,162
6.2811,5.6499,6.2602,163,151,162
6.2771,5.6543,6.2634,163,151,162
6.2761,5.6495,6.2569,163,151,162
6.2790,5.6739,6.2566,163,151,162
6.2815,5.6473,6.2523,163,151,162
6.2720,5.6634,6.2623,163,151,162
6.2809,5.6478,6.2588,163,151,162
6.2825,5.6518,6.2645,163,151,162
6.2803,5.6718,6.2633,163,151,162
6.2820,5.6502,6.2636,163,151,162
6.2811,5.6503,6.2636,163,151,162
6.2713,5.6579,6.2632,163,151,162
6.2807,5.6715,6.2641,163,151,162
6.2695,5.6628,6.2616,163,151,162
6.2794,5.6474,6.2600,163,151,162
6.2789,5.6489,6.2622,163,151,162
6.2813,5.6454,6.2546,163,151,162
6.2723,5.6711,6.2602,163,151,162
6.2699,5.6540,6.2602,163,151,162
6.2732,5.6691,6.2634,163,151,162
6.2705,5.6638,6.2636,163,151,162
6.2791,5.6746,6.2611,163,151,162
6.2772,5.6497,6.2632,163,151,162
6.2757,5.6501,6.2633,163,151,162
6.2791,5.6446,6.2554,163,151,162
6.2818,5.6459,6.2607,163,151,162
6.2813,5.6730,6.2650,163,151,162
6.2659,5.6629,6.2581,163,151,162
